make_model,make,location,price,body_type,type,doors,mileage,gearbox,fuel_type,seller,power,gears,emission_class,age,entertainment_media_count,engine_size_cat,comfort_convenience_cat
Seat Ibiza,Seat,ES,8900,Compact,Used,5.0,76600.0,Manual,Diesel,Dealer,74.0,5.0,Other,15.0,Standart,Medium,standard
Seat Ibiza,Seat,ES,17750,Compact,Pre-registered,5.0,100.0,Manual,Benzin,Dealer,81.0,6.0,Euro 6,0.0,Standart,Low,standard
Seat Cordoba,Seat,ES,4200,Compact,Used,5.0,206000.0,Manual,Diesel,Dealer,74.0,5.0,Euro 6,16.0,Standart,Medium,standard
Seat Ibiza,Seat,DE,20900,Compact,Used,5.0,36085.0,Automatic,Benzin,Dealer,85.0,6.0,Euro 6,4.0,Upgrated,Low,standard
Seat Leon,Seat,ES,21900,Compact,Used,5.0,16900.0,Manual,Diesel,Dealer,85.0,6.0,Euro 6,2.0,Standart,Medium,standard
Seat Ibiza,Seat,ES,12200,Compact,Used,3.0,108000.0,Automatic,Benzin,Dealer,132.0,7.0,Other,10.0,Standart,Low,standard
Seat Ibiza,Seat,ES,9000,Compact,Used,5.0,131439.0,Manual,Diesel,Dealer,77.0,5.0,Other,10.0,Standart,Low,standard
Seat Ibiza,Seat,DE,13289,Compact,Used,3.0,79150.0,Manual,Benzin,Dealer,81.0,6.0,Euro 6,6.0,Standart,Low,standard
Seat Leon,Seat,ES,8900,Compact,Used,5.0,220209.0,Manual,Diesel,Dealer,103.0,6.0,Other,13.0,Standart,Medium,standard
Seat Leon,Seat,ES,13900,Compact,Used,5.0,92916.0,Manual,Diesel,Dealer,85.0,5.0,Euro 6,3.0,Standart,Low,standard
Seat Ibiza,Seat,DE,14940,Compact,Used,5.0,73250.0,Manual,Diesel,Dealer,70.0,5.0,Euro 6,2.0,Upgrated,Low,standard
Seat Ibiza,Seat,DE,19900,Compact,Used,5.0,27840.0,Manual,Benzin,Dealer,110.0,7.0,Euro 6,4.0,Upgrated,Low,standard
Seat Ibiza,Seat,DE,16900,Compact,Used,5.0,71722.0,Manual,Diesel,Dealer,85.0,6.0,Euro 6,4.0,Upgrated,Low,standard
Seat Arona,Seat,DE,17790,Compact,Used,5.0,57880.0,Manual,Benzin,Dealer,85.0,6.0,Euro 6,3.0,Upgrated,Low,standard
Seat Leon,Seat,ES,30990,Compact,Pre-registered,5.0,5000.0,Automatic,Diesel,Dealer,110.0,7.0,Euro 6,0.0,Standart,Medium,standard
Seat Leon,Seat,ES,12500,Compact,Used,5.0,92385.0,Manual,Diesel,Dealer,81.0,6.0,Euro 6,6.0,Standart,Low,standard
Seat Leon,Seat,DE,17990,Compact,Used,5.0,53700.0,Manual,Benzin,Dealer,96.0,6.0,Euro 6,2.0,Standart,Low,standard
Seat Ibiza,Seat,DE,20950,Compact,Used,5.0,11853.0,Automatic,Benzin,Dealer,85.0,7.0,Euro 6,3.0,Upgrated,Low,luxury
Seat Leon,Seat,ES,11890,Compact,Used,5.0,121988.0,Manual,Diesel,Dealer,85.0,5.0,Euro 6,4.0,Standart,Low,standard
Seat Ibiza,Seat,ES,17090,Compact,Used,5.0,56150.0,Manual,Benzin,Dealer,110.0,6.0,Euro 6,4.0,Standart,Low,standard
