make_model,make,location,price,body_type,type,doors,mileage,gearbox,fuel_type,seller,power,gears,emission_class,age,entertainment_media_count,engine_size_cat,comfort_convenience_cat
Mercedes Benz A 160,Mercedes Benz,ES,16950,Compact,Used,5.0,120200.0,Manual,Diesel,Dealer,75.0,6.0,Euro 6,6.0,Standart,Low,standard
Mercedes Benz A 35 AMG,Mercedes Benz,ES,46990,Compact,Used,5.0,18995.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,2.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,16800,Compact,Used,5.0,197000.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,7.0,Standart,Medium,standard
Mercedes Benz C 160,Mercedes Benz,DE,4690,Compact,Used,3.0,165000.0,Manual,Benzin,Dealer,90.0,6.0,Other,17.0,Standart,Medium,standard
Mercedes Benz CLA 180,Mercedes Benz,ES,22550,Compact,Used,5.0,83339.0,Manual,Diesel,Dealer,90.0,7.0,Euro 6,4.0,Standart,Low,luxury
Mercedes Benz A 220,Mercedes Benz,ES,26900,Compact,Used,5.0,48900.0,Automatic,Benzin,Dealer,140.0,7.0,Euro 6,3.0,Standart,Medium,standard
Mercedes Benz A 35 AMG,Mercedes Benz,BE,44999,Compact,Used,5.0,56876.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,3.0,Standart,Medium,standard
Mercedes Benz A 200,Mercedes Benz,ES,23900,Compact,Used,5.0,21854.0,Automatic,Diesel,Dealer,102.0,7.0,Euro 6,4.0,Standart,Medium,standard
Mercedes Benz A 160,Mercedes Benz,BE,14200,Compact,Used,5.0,99016.0,Manual,Diesel,Dealer,66.0,5.0,Euro 6,7.0,Standart,Low,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,37999,Compact,Used,5.0,90000.0,Automatic,Benzin,Dealer,280.0,7.0,Euro 6,6.0,Standart,Medium,standard
Mercedes Benz A 250,Mercedes Benz,ES,23999,Compact,Used,5.0,25914.0,Automatic,Benzin,Dealer,155.0,7.0,Euro 6,9.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,BE,24400,Compact,Used,5.0,27150.0,Manual,Diesel,Dealer,85.0,6.0,Euro 6,2.0,Standart,Low,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,16999,Compact,Used,5.0,210000.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,6.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,DE,7450,Compact,Used,5.0,157500.0,Manual,Diesel,Dealer,80.0,6.0,Other,12.0,Standart,Medium,standard
Mercedes Benz A 250,Mercedes Benz,BE,38999,Compact,Used,5.0,21496.0,Automatic,Benzin,Dealer,118.0,8.0,Euro 6,1.0,Standart,Low,standard
Mercedes Benz A 35 AMG,Mercedes Benz,ES,41900,Compact,Used,5.0,44000.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,3.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,ES,29800,Compact,Used,5.0,21734.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,2.0,Standart,Low,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,37490,Compact,Used,5.0,81500.0,Automatic,Benzin,Dealer,280.0,7.0,Euro 6,6.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,ES,21000,Compact,Used,5.0,172700.0,Automatic,Diesel,Dealer,80.0,7.0,Euro 6,4.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,ES,26800,Compact,Used,5.0,18989.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,2.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,ES,32900,Compact,Pre-registered,5.0,25.0,Manual,Benzin,Dealer,100.0,6.0,Euro 6,1.0,Standart,Low,standard
Mercedes Benz A 200,Mercedes Benz,BE,32950,Compact,Used,5.0,24244.0,Manual,Benzin,Dealer,120.0,7.0,Euro 6,3.0,Standart,Low,standard
Mercedes Benz GLC 220,Mercedes Benz,ES,64900,Compact,Used,5.0,6589.0,Automatic,Diesel,Dealer,143.0,9.0,Euro 6,1.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,67900,Compact,Used,5.0,6564.0,Automatic,Benzin,Dealer,310.0,8.0,Euro 6,1.0,Standart,Medium,standard
Mercedes Benz A 160,Mercedes Benz,BE,13999,Compact,Used,5.0,128644.0,Manual,Diesel,Dealer,66.0,5.0,Other,8.0,Standart,Low,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,29990,Compact,Used,5.0,120000.0,Automatic,Benzin,Dealer,265.0,7.0,Euro 6,8.0,Standart,Medium,standard
Mercedes Benz A 200,Mercedes Benz,DE,8300,Compact,Used,5.0,71752.0,Automatic,Benzin,Dealer,100.0,7.0,Other,17.0,Standart,Medium,standard
Mercedes Benz A 200,Mercedes Benz,BE,32950,Compact,Used,5.0,34942.0,Automatic,Benzin,Dealer,120.0,7.0,Euro 6,2.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,BE,32950,Compact,Used,5.0,20124.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,2.0,Standart,Low,standard
Mercedes Benz A 250,Mercedes Benz,ES,36900,Compact,Used,5.0,11990.0,Automatic,Benzin,Dealer,160.0,8.0,Euro 6,1.0,Standart,Low,standard
Mercedes Benz E 220,Mercedes Benz,ES,29800,Compact,Used,5.0,55226.0,Manual,Diesel,Dealer,125.0,5.0,Euro 6,6.0,Standart,Medium,luxury
Mercedes Benz A 180,Mercedes Benz,ES,18390,Compact,Used,5.0,63871.0,Automatic,Benzin,Dealer,90.0,7.0,Euro 6,5.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,ES,25900,Compact,Used,5.0,26900.0,Manual,Benzin,Dealer,100.0,6.0,Euro 6,2.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,ES,25400,Compact,Used,5.0,87700.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,4.0,Standart,Low,standard
Mercedes Benz B 200,Mercedes Benz,ES,29000,Compact,Used,5.0,45701.0,Automatic,Diesel,Dealer,110.0,8.0,Euro 6,3.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,BE,29900,Compact,Used,5.0,52497.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,3.0,Standart,Low,luxury
Mercedes Benz A 180,Mercedes Benz,BE,14490,Compact,Used,5.0,118059.0,Manual,Diesel,Dealer,80.0,6.0,Euro 6,8.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,ES,20630,Compact,Used,5.0,98258.0,Manual,Diesel,Dealer,85.0,7.0,Euro 6,3.0,Standart,Low,standard
Mercedes Benz A 160,Mercedes Benz,BE,27500,Compact,Used,5.0,11394.0,Manual,Benzin,Dealer,80.0,6.0,Euro 6,1.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,DE,8490,Compact,Used,5.0,141980.0,Automatic,Benzin,Dealer,85.0,5.0,Other,11.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,ES,23850,Compact,Used,5.0,71098.0,Automatic,Diesel,Dealer,80.0,7.0,Euro 6,4.0,Standart,Low,standard
Mercedes Benz A 220,Mercedes Benz,ES,35500,Compact,Used,5.0,26000.0,Automatic,Benzin,Dealer,140.0,7.0,Euro 6,3.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,ES,29900,Compact,Used,5.0,26500.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,1.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,ES,25900,Compact,Used,5.0,43987.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,3.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,ES,16700,Compact,Used,5.0,139000.0,Automatic,Diesel,Dealer,80.0,7.0,Euro 6,6.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,DE,27460,Compact,Used,5.0,58813.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,2.0,Upgrated,Low,standard
Mercedes Benz A 200,Mercedes Benz,ES,17399,Compact,Used,5.0,100640.0,Manual,Diesel,Dealer,100.0,6.0,Euro 6,9.0,Standart,Medium,standard
Mercedes Benz A 200,Mercedes Benz,ES,23999,Compact,Used,5.0,100000.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,6.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,ES,29900,Compact,Used,5.0,68900.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,3.0,Standart,Low,standard
Mercedes Benz A 200,Mercedes Benz,BE,27999,Compact,Used,5.0,41272.0,Automatic,Benzin,Dealer,120.0,7.0,Euro 6,4.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,ES,25600,Compact,Used,5.0,49600.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,4.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,ES,26850,Compact,Used,5.0,28330.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,2.0,Standart,Low,standard
Mercedes Benz A 250,Mercedes Benz,DE,44785,Compact,Used,5.0,9000.0,Automatic,Benzin,Dealer,173.0,8.0,Euro 6,2.0,Upgrated,Low,luxury
Mercedes Benz A 180,Mercedes Benz,BE,25990,Compact,Used,5.0,67626.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,2.0,Upgrated,Low,luxury
Mercedes Benz A 200,Mercedes Benz,ES,34995,Compact,Used,5.0,8828.0,Automatic,Diesel,Dealer,110.0,8.0,Euro 6,2.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,ES,27800,Compact,Used,5.0,61618.0,Automatic,Diesel,Dealer,80.0,7.0,Euro 6,4.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,BE,29999,Compact,Used,5.0,17115.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,2.0,Standart,Low,standard
Mercedes Benz A 200,Mercedes Benz,DE,38350,Compact,Demonstration,5.0,8000.0,Automatic,Benzin,Dealer,120.0,7.0,Euro 6,1.0,Upgrated,Low,luxury
Mercedes Benz A 200,Mercedes Benz,ES,23400,Compact,Used,5.0,87500.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,6.0,Standart,Medium,standard
Mercedes Benz A 150,Mercedes Benz,DE,7350,Compact,Used,5.0,61170.0,Automatic,Benzin,Dealer,70.0,5.0,Other,16.0,Standart,Low,standard
Mercedes Benz A 200,Mercedes Benz,ES,21450,Compact,Used,5.0,116715.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,5.0,Standart,Medium,standard
Mercedes Benz A 220,Mercedes Benz,DE,43880,Compact,Demonstration,5.0,8000.0,Automatic,Diesel,Dealer,140.0,8.0,Euro 6,1.0,Upgrated,Medium,luxury
Mercedes Benz A 200,Mercedes Benz,ES,23900,Compact,Used,5.0,98781.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,5.0,Standart,Medium,standard
Mercedes Benz B 200,Mercedes Benz,DE,38880,Compact,Demonstration,5.0,22000.0,Automatic,Diesel,Dealer,110.0,8.0,Euro 6,2.0,Upgrated,Medium,luxury
Mercedes Benz A 180,Mercedes Benz,ES,27900,Compact,Used,5.0,19785.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,1.0,Standart,Low,standard
Mercedes Benz A 200,Mercedes Benz,ES,33900,Compact,Used,5.0,35758.0,Automatic,Diesel,Dealer,110.0,8.0,Euro 6,2.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,BE,64999,Compact,Used,5.0,30273.0,Automatic,Benzin,Dealer,310.0,8.0,Euro 6,2.0,Standart,Medium,standard
Mercedes Benz V 220,Mercedes Benz,ES,37900,Compact,Used,5.0,126000.0,Manual,Diesel,Dealer,120.0,9.0,Euro 6,6.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,ES,27490,Compact,Used,5.0,91754.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,3.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,DE,24780,Compact,Used,5.0,46403.0,Automatic,Benzin,Dealer,90.0,7.0,Euro 6,4.0,Standart,Low,luxury
Mercedes Benz A 180,Mercedes Benz,DE,9770,Compact,Used,5.0,49658.0,Manual,Benzin,Dealer,85.0,5.0,Other,10.0,Standart,Medium,standard
Mercedes Benz A 150,Mercedes Benz,ES,6990,Compact,Used,5.0,135000.0,Manual,Benzin,Dealer,70.0,5.0,Euro 6,14.0,Standart,Low,standard
Mercedes Benz A 200,Mercedes Benz,ES,7000,Compact,Used,5.0,96000.0,Manual,Benzin,Dealer,100.0,5.0,Other,17.0,Standart,Medium,standard
Mercedes Benz A 250,Mercedes Benz,ES,33999,Compact,Used,5.0,12265.0,Automatic,Benzin,Dealer,160.0,7.0,Euro 6,2.0,Standart,Medium,standard
Mercedes Benz A 160,Mercedes Benz,BE,25950,Compact,Used,5.0,13863.0,Manual,Benzin,Dealer,80.0,5.0,Euro 6,2.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,BE,31950,Compact,Used,5.0,23644.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,0.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,ES,25000,Compact,Used,5.0,78300.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,3.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,BE,14700,Compact,Used,5.0,93914.0,Manual,Diesel,Dealer,80.0,6.0,Euro 6,7.0,Standart,Low,standard
Mercedes Benz A 35 AMG,Mercedes Benz,ES,32800,Compact,Used,5.0,17900.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,1.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,ES,8950,Compact,Used,5.0,199000.0,Automatic,Diesel,Dealer,80.0,7.0,Other,10.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,66990,Compact,Used,5.0,48000.0,Automatic,Benzin,Dealer,310.0,8.0,Euro 6,2.0,Standart,Medium,standard
Mercedes Benz A 35 AMG,Mercedes Benz,NL,56980,Compact,Used,5.0,58592.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,3.0,Upgrated,Medium,luxury
Mercedes Benz A 200,Mercedes Benz,NL,46999,Compact,Used,5.0,5934.0,Automatic,Benzin,Dealer,110.0,7.0,Euro 6,1.0,Standart,Low,luxury
Mercedes Benz A 45 AMG,Mercedes Benz,NL,32999,Compact,Used,5.0,100229.0,Automatic,Benzin,Dealer,266.0,7.0,Euro 6,7.0,Standart,Medium,luxury
Mercedes Benz A 45 AMG,Mercedes Benz,NL,39495,Compact,Used,5.0,54510.0,Automatic,Benzin,Dealer,280.0,7.0,Euro 6,5.0,Standart,Medium,luxury
Mercedes Benz A 250,Mercedes Benz,NL,38850,Compact,Used,5.0,49627.0,Automatic,Benzin,Dealer,202.0,7.0,Euro 6,4.0,Standart,Medium,luxury
Mercedes Benz A 180,Mercedes Benz,NL,10950,Compact,Used,5.0,194367.0,Manual,Diesel,Dealer,80.0,6.0,Other,8.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,NL,16750,Compact,Used,5.0,184748.0,Automatic,Diesel,Dealer,80.0,6.0,Euro 6,5.0,Standart,Low,standard
Mercedes Benz A 45 AMG,Mercedes Benz,NL,30950,Compact,Used,5.0,115949.0,Automatic,Benzin,Dealer,280.0,7.0,Euro 6,6.0,Standart,Medium,luxury
Mercedes Benz A 180,Mercedes Benz,NL,12950,Compact,Used,5.0,236233.0,Manual,Diesel,Dealer,80.0,6.0,Euro 6,6.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,NL,12445,Compact,Used,5.0,177477.0,Manual,Diesel,Dealer,80.0,6.0,Euro 6,6.0,Standart,Low,standard
Mercedes Benz A 35 AMG,Mercedes Benz,NL,48950,Compact,Used,5.0,59012.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,3.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,NL,28445,Compact,Used,5.0,117613.0,Automatic,Benzin,Dealer,265.0,7.0,Euro 6,9.0,Standart,Medium,luxury
Mercedes Benz A 200,Mercedes Benz,NL,48136,Compact,Used,5.0,4537.0,Automatic,Benzin,Dealer,110.0,7.0,Euro 6,1.0,Standart,Low,luxury
Mercedes Benz A 200,Mercedes Benz,NL,51999,Compact,Used,5.0,6642.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,1.0,Standart,Low,luxury
Mercedes Benz A 180,Mercedes Benz,NL,14945,Compact,Used,5.0,188018.0,Automatic,Benzin,Dealer,90.0,8.0,Euro 6,8.0,Standart,Low,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,39900,Compact,Used,5.0,46300.0,Automatic,Benzin,Dealer,280.0,7.0,Euro 6,6.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,NL,25950,Compact,Used,5.0,136404.0,Automatic,Benzin,Dealer,266.0,7.0,Euro 6,8.0,Standart,Medium,luxury
Mercedes Benz A 180,Mercedes Benz,NL,16950,Compact,Used,5.0,165282.0,Manual,Diesel,Dealer,80.0,6.0,Other,10.0,Standart,Low,luxury
Mercedes Benz A 35 AMG,Mercedes Benz,BE,66890,Compact,Used,5.0,500.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,0.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,NL,34900,Compact,Used,5.0,52694.0,Automatic,Benzin,Dealer,280.0,7.0,Euro 6,6.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,NL,44988,Compact,Used,5.0,62182.0,Automatic,Benzin,Dealer,279.0,7.0,Euro 6,4.0,Standart,Medium,luxury
Mercedes Benz A 200,Mercedes Benz,NL,27425,Compact,Used,5.0,139464.0,Automatic,Benzin,Dealer,120.0,7.0,Euro 6,4.0,Standart,Low,standard
Mercedes Benz A 250,Mercedes Benz,NL,44980,Compact,Used,5.0,34408.0,Automatic,Benzin,Dealer,165.0,7.0,Euro 6,3.0,Upgrated,Medium,luxury
Mercedes Benz A 220,Mercedes Benz,NL,33945,Compact,Used,5.0,47514.0,Automatic,Benzin,Dealer,140.0,7.0,Euro 6,3.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,NL,29950,Compact,Used,5.0,69463.0,Automatic,Benzin,Dealer,266.0,7.0,Euro 6,8.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,NL,19950,Compact,Used,5.0,141989.0,Manual,Diesel,Dealer,80.0,6.0,Euro 6,5.0,Standart,Low,standard
Mercedes Benz A 250,Mercedes Benz,NL,44500,Compact,Used,5.0,14250.0,Automatic,Benzin,Dealer,118.0,8.0,Euro 6,1.0,Standart,Low,luxury
Mercedes Benz A 160,Mercedes Benz,NL,22945,Compact,Used,5.0,108464.0,Automatic,Benzin,Dealer,75.0,7.0,Euro 6,5.0,Standart,Low,luxury
Mercedes Benz A 200,Mercedes Benz,NL,38999,Compact,Used,5.0,59381.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,3.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,ES,6400,Compact,Used,5.0,179000.0,Automatic,Diesel,Dealer,80.0,6.0,Euro 6,16.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,ES,13990,Compact,Used,5.0,123000.0,Manual,Diesel,Dealer,80.0,6.0,Other,10.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,ES,23990,Compact,Used,5.0,51078.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,3.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,BE,16800,Compact,Used,5.0,154000.0,Automatic,Diesel,Dealer,80.0,7.0,Other,8.0,Standart,Low,standard
Mercedes Benz A 200,Mercedes Benz,NL,26900,Compact,Used,5.0,139719.0,Automatic,Diesel,Dealer,110.0,8.0,Euro 6,3.0,Standart,Medium,standard
Mercedes Benz A 160,Mercedes Benz,ES,13900,Compact,Used,5.0,212000.0,Manual,Diesel,Dealer,75.0,6.0,Euro 6,6.0,Standart,Low,standard
Mercedes Benz A 35 AMG,Mercedes Benz,NL,59950,Compact,Used,5.0,8400.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,1.0,Standart,Medium,standard
Mercedes Benz A 250,Mercedes Benz,NL,19750,Compact,Used,5.0,151300.0,Automatic,Benzin,Dealer,155.0,7.0,Euro 6,9.0,Standart,Medium,standard
Mercedes Benz A 140,Mercedes Benz,FR,15000,Compact,Used,5.0,129000.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,9.0,Standart,Low,standard
Mercedes Benz A 220,Mercedes Benz,FR,28980,Compact,Used,5.0,36605.0,Automatic,Diesel,Dealer,132.0,7.0,Euro 6,5.0,Standart,Medium,standard
Mercedes Benz A 220,Mercedes Benz,NL,37900,Compact,Used,5.0,71927.0,Automatic,Benzin,Dealer,140.0,7.0,Euro 6,2.0,Standart,Medium,luxury
Mercedes Benz A 200,Mercedes Benz,FR,23780,Compact,Used,5.0,80928.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,4.0,Standart,Medium,luxury
Mercedes Benz A 250,Mercedes Benz,ES,31718,Compact,Used,5.0,83624.0,Automatic,Benzin,Dealer,160.0,8.0,Euro 6,1.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,ES,26850,Compact,Used,5.0,25681.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,2.0,Standart,Low,standard
Mercedes Benz A 160,Mercedes Benz,AT,4850,Compact,Used,5.0,176000.0,Manual,Benzin,Dealer,70.0,5.0,Other,11.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,NL,31450,Compact,Used,5.0,99597.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,3.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,NL,17944,Compact,Used,5.0,99939.0,Manual,Benzin,Dealer,90.0,7.0,Euro 6,6.0,Standart,Low,standard
Mercedes Benz A 200,Mercedes Benz,NL,19950,Compact,Used,5.0,189278.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,7.0,Standart,Medium,luxury
Mercedes Benz A 250,Mercedes Benz,ES,38990,Compact,Used,5.0,32800.0,Automatic,Benzin,Dealer,160.0,8.0,Euro 6,2.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,ES,23536,Compact,Used,5.0,29721.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,3.0,Standart,Low,standard
Mercedes Benz A 220,Mercedes Benz,ES,20490,Compact,Used,5.0,75000.0,Automatic,Diesel,Dealer,130.0,7.0,Euro 6,6.0,Standart,Medium,standard
Mercedes Benz A 200,Mercedes Benz,NL,37950,Compact,Used,5.0,67953.0,Automatic,Benzin,Dealer,121.0,7.0,Euro 6,4.0,Standart,Low,luxury
Mercedes Benz A 250,Mercedes Benz,ES,36999,Compact,Used,5.0,25900.0,Automatic,Benzin,Dealer,160.0,8.0,Euro 6,1.0,Standart,Low,standard
Mercedes Benz A 200,Mercedes Benz,NL,33950,Compact,Used,5.0,74951.0,Automatic,Benzin,Dealer,120.0,7.0,Euro 6,4.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,NL,12245,Compact,Used,5.0,140230.0,Manual,Diesel,Dealer,80.0,6.0,Other,9.0,Standart,Low,standard
Mercedes Benz A 200,Mercedes Benz,NL,19995,Compact,Used,5.0,63522.0,Manual,Benzin,Dealer,115.0,6.0,Euro 6,5.0,Standart,Low,standard
Mercedes Benz A 250,Mercedes Benz,ES,37990,Compact,Used,5.0,33576.0,Automatic,Benzin,Dealer,165.0,7.0,Euro 6,3.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,FR,30490,Compact,Used,5.0,28539.0,Manual,Diesel,Dealer,85.0,6.0,Euro 6,1.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,NL,16945,Compact,Used,5.0,135462.0,Automatic,Benzin,Dealer,90.0,7.0,Euro 6,7.0,Standart,Low,standard
Mercedes Benz A 250,Mercedes Benz,NL,18950,Compact,Used,5.0,114795.0,Automatic,Benzin,Dealer,155.0,7.0,Euro 6,10.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,NL,26980,Compact,Used,5.0,82571.0,Automatic,Benzin,Dealer,90.0,7.0,Euro 6,4.0,Standart,Low,luxury
Mercedes Benz A 180,Mercedes Benz,NL,18945,Compact,Used,5.0,96488.0,Automatic,Benzin,Dealer,90.0,8.0,Euro 6,7.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,NL,22950,Compact,Used,5.0,109275.0,Automatic,Benzin,Dealer,90.0,7.0,Euro 6,4.0,Standart,Low,standard
Mercedes Benz CL,Mercedes Benz,FR,40890,Compact,Used,5.0,5000.0,Automatic,Benzin,Dealer,122.0,7.0,Euro 6,0.0,Standart,Low,standard
Mercedes Benz CL,Mercedes Benz,FR,39900,Compact,Used,5.0,7000.0,Automatic,Benzin,Dealer,122.0,7.0,Euro 6,0.0,Standart,Low,standard
Mercedes Benz CL,Mercedes Benz,FR,38890,Compact,Used,5.0,5000.0,Automatic,Benzin,Dealer,122.0,7.0,Euro 6,0.0,Standart,Low,standard
Mercedes Benz A 200,Mercedes Benz,NL,32990,Compact,Used,5.0,41004.0,Automatic,Benzin,Dealer,120.0,7.0,Euro 6,4.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,NL,12295,Compact,Used,5.0,161839.0,Manual,Benzin,Dealer,90.0,6.0,Euro 6,9.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,ES,27400,Compact,Used,5.0,96300.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,4.0,Standart,Low,standard
Mercedes Benz A 35 AMG,Mercedes Benz,FR,52999,Compact,Used,5.0,50426.0,Automatic,Benzin,Dealer,228.0,7.0,Euro 6,3.0,Standart,Medium,standard
Mercedes Benz A 200,Mercedes Benz,NL,29950,Compact,Used,5.0,63267.0,Automatic,Benzin,Dealer,121.0,7.0,Euro 6,4.0,Standart,Low,standard
Mercedes Benz A 250,Mercedes Benz,ES,36900,Compact,Used,5.0,17500.0,Automatic,Benzin,Dealer,160.0,8.0,Euro 6,1.0,Standart,Low,standard
Mercedes Benz A 250,Mercedes Benz,NL,22950,Compact,Used,5.0,81835.0,Automatic,Benzin,Dealer,155.0,7.0,Euro 6,8.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,NL,34950,Compact,Used,5.0,74458.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,4.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,NL,35950,Compact,Used,5.0,14683.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,1.0,Standart,Low,standard
Mercedes Benz A 200,Mercedes Benz,ES,19990,Compact,Used,5.0,87119.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,5.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,NL,18750,Compact,Used,5.0,108208.0,Manual,Benzin,Dealer,90.0,6.0,Euro 6,7.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,NL,15250,Compact,Used,5.0,100532.0,Manual,Benzin,Dealer,90.0,6.0,Euro 6,9.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,FR,22790,Compact,Used,5.0,47638.0,Automatic,Diesel,Dealer,80.0,7.0,Euro 6,5.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,AT,27250,Compact,Used,5.0,86000.0,Automatic,Diesel,Dealer,85.0,6.0,Euro 6,3.0,Upgrated,Low,standard
